cycle,avg_attention,avg_performance,is_break,high_attention_count
0,0.5469659882954278,0.5,true,9
1,0.600167548295866,0.5032,true,9
2,0.6482906319276381,0.5067999999999999,true,11
3,0.6954820697021643,0.5104000000000001,true,15
4,0.7389516996031016,0.5152,true,16
5,0.7786079211386976,0.5212,true,17
6,0.8159713167949476,0.5276000000000001,true,18
7,0.848170576545864,0.5344000000000001,true,19
8,0.875348105899401,0.5416,true,20
9,0.9012875411565245,0.5491999999999999,true,21
10,0.9213889862001432,0.5572,true,23
11,0.9380664829409008,0.5656000000000001,true,23
12,0.9515490885069836,0.5748000000000001,true,23
13,0.9643490885069833,0.5840000000000001,true,24
14,0.9738350982163664,0.5932000000000002,true,25
15,0.9818350982163665,0.6028,false,25
16,0.9414350982163663,0.612,false,25
17,0.9002350982163663,0.6212000000000001,false,24
18,0.8590350982163666,0.6304000000000001,false,23
19,0.8194350982163664,0.6352,false,23
20,0.7806350982163665,0.6396000000000002,false,23
21,0.7418350982163663,0.6396000000000002,false,14
22,0.7030350982163662,0.6396000000000002,false,13
23,0.6626350982163661,0.6396000000000002,false,12
24,0.6214350982163661,0.6396000000000002,false,11
25,0.5762350982163662,0.6396000000000002,false,0
26,0.524635098216366,0.6396000000000002,false,0
27,0.47303509821636625,0.6396000000000002,false,0
28,0.4222350982163661,0.6396000000000002,false,0
29,0.3706350982163663,0.6396000000000002,false,0
30,0.32072584093211653,0.6396000000000002,true,0
31,0.3691258409321165,0.6396000000000002,true,0
32,0.4175258409321165,0.6396000000000002,true,0
33,0.46592584093211664,0.6396000000000002,true,0
34,0.5135258409321163,0.6396000000000002,true,0
35,0.5611258409321166,0.6396000000000002,true,0
36,0.6119258409321165,0.6396000000000002,true,12
37,0.6675258409321166,0.6396000000000002,true,12
38,0.7239258409321168,0.6444000000000001,true,12
39,0.7811258409321166,0.6492000000000001,true,14
40,0.8295258409321167,0.6544000000000001,true,21
41,0.8627258409321169,0.6600000000000001,true,21
42,0.8919258409321169,0.6684,true,22
43,0.9203258409321167,0.6768000000000001,true,23
44,0.9448404817508071,0.6856000000000002,true,24
45,0.9684404817508071,0.6948000000000002,false,24
46,0.9288404817508069,0.7036000000000002,false,24
47,0.8876404817508071,0.7124000000000003,false,24
48,0.8448404817508073,0.7212000000000002,false,23
49,0.8012404817508073,0.7252000000000003,false,22
50,0.7568404817508072,0.7276000000000002,false,22
51,0.711640481750807,0.7276000000000002,false,12
52,0.6656404817508071,0.7276000000000002,false,6
53,0.6196404817508069,0.7276000000000002,false,6
54,0.5728404817508069,0.7276000000000002,false,6
55,0.523640481750807,0.7276000000000002,false,0
56,0.4720404817508067,0.7276000000000002,false,0
57,0.42044048175080706,0.7276000000000002,false,0
58,0.3696404817508068,0.7276000000000002,false,0
59,0.31764048175080695,0.7276000000000002,false,0
60,0.2660880308960494,0.7276000000000002,true,0
61,0.3096880308960494,0.7276000000000002,true,0
62,0.35248803089604935,0.7276000000000002,true,0
63,0.3952880308960494,0.7276000000000002,true,0
64,0.43968803089604913,0.7276000000000002,true,0
65,0.4840880308960495,0.7276000000000002,true,0
66,0.5324880308960495,0.7276000000000002,true,6
67,0.5832880308960494,0.7276000000000002,true,6
68,0.6340880308960496,0.7300000000000001,true,6
69,0.6856880308960495,0.7324,true,8
70,0.7332880308960493,0.7348000000000003,true,15
71,0.7768880308960496,0.7380000000000001,true,17
72,0.8204880308960496,0.7440000000000003,true,22
73,0.8656880308960495,0.7508000000000004,true,23
74,0.9092880308960496,0.7596000000000004,true,23
75,0.9472880308960496,0.7688000000000004,false,23
76,0.9084880308960492,0.7776000000000002,false,23
77,0.8696880308960495,0.7860000000000003,false,23
78,0.8316880308960496,0.7944000000000002,false,23
79,0.7944880308960497,0.7984000000000004,false,22
80,0.7564880308960497,0.8012000000000004,false,21
81,0.7176880308960495,0.8012000000000004,false,14
82,0.6764880308960496,0.8012000000000004,false,14
83,0.6312880308960493,0.8012000000000004,false,7
84,0.5844880308960493,0.8012000000000004,false,4
85,0.5352880308960494,0.8012000000000004,false,0
86,0.48368803089604934,0.8012000000000004,false,0
87,0.4324880308960494,0.8012000000000004,false,0
88,0.3812880308960493,0.8012000000000004,false,0
89,0.3296880308960495,0.8012000000000004,false,0
90,0.27768803089604943,0.8012000000000004,true,0
91,0.3188880308960494,0.8012000000000004,true,0
92,0.3600880308960493,0.8012000000000004,true,0
93,0.40448803089604934,0.8012000000000004,true,0
94,0.45128803089604935,0.8012000000000004,true,0
95,0.49808803089604936,0.8012000000000004,true,0
96,0.5472880308960495,0.8012000000000004,true,4
97,0.5996880308960494,0.8012000000000004,true,6
98,0.6528880308960495,0.8032000000000004,true,7
99,0.7076880308960491,0.8056000000000003,true,13
100,0.7592880308960496,0.8084000000000003,true,20
101,0.8020880308960497,0.8136000000000004,true,20
102,0.8424880308960497,0.8208000000000003,true,22
103,0.8812880308960496,0.8280000000000004,true,22
104,0.9144880308960497,0.8360000000000002,true,23
105,0.9428880308960498,0.8440000000000002,false,23
106,0.9024880308960495,0.8520000000000002,false,23
107,0.8612880308960494,0.8600000000000001,false,22
108,0.8192880308960498,0.8676000000000001,false,22
109,0.7772880308960497,0.8708000000000005,false,22
110,0.7352880308960494,0.8740000000000004,false,22
